DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,18,92.94587785596386,Naive Bayes,Best First,None,None,0.9457601222307105,0.9709803921568627,0.6107651230705048,0.08112072759278356,3714.0,213.0,22.0,111.0
syncope,19,93.36523643442291,Naive Bayes,Best First,None,None,0.9442748091603054,0.9765789473684211,0.7548144283121597,0.2792126795216572,3711.0,219.0,71.0,89.0
syncope,20,93.7637843181991,Naive Bayes,Best First,None,None,0.9273049645390071,0.9788770053475936,0.7220276292335116,0.24583869411386317,3661.0,287.0,73.0,79.0
syncope,21,94.12985897344119,Naive Bayes,Best First,None,None,0.9266528925619835,0.9736770691994573,0.7875009399879027,0.36164213382589727,3588.0,284.0,131.0,97.0
syncope,22,94.44895199459094,Naive Bayes,Best First,None,None,0.9084132055378061,0.9412413793103448,0.7096597701149425,0.2547323097582957,3412.0,344.0,136.0,213.0
syncope,23,94.70448869821348,Naive Bayes,Best First,None,None,0.9140830267997898,0.9584022038567493,0.7750882360963369,0.36574463305843435,3479.0,327.0,178.0,151.0
syncope,24,94.96503496503496,Naive Bayes,Best First,None,None,0.9334021683014971,0.9617021276595744,0.7423782194848825,0.32682382254437203,3616.0,258.0,122.0,144.0
syncope,1,50.0,IBk,Best First,None,None,0.9760601915184679,0.9992997198879552,0.6644272292250234,0.0501730103806235,2854.0,70.0,2.0,2.0
syncope,2,66.62116040955631,IBk,Best First,None,None,0.9631190727081138,0.9785867237687366,0.6564061384725196,0.21864559425931826,2742.0,105.0,27.0,60.0
syncope,3,74.97441146366428,IBk,Best First,None,None,0.9297223174494343,0.9977924944812362,0.6787406657945657,0.0845865161960023,2712.0,205.0,11.0,6.0
syncope,4,79.98362668849775,IBk,Best First,None,None,0.9628438728117185,0.9915378955114055,0.9285013490311503,0.6164563763363163,2695.0,104.0,112.0,23.0
syncope,5,83.26516700749829,IBk,Best First,None,None,0.8211897219288983,0.994458653026428,0.6644519039499858,0.21326444311174675,2333.0,508.0,92.0,13.0
syncope,6,85.4895104895105,IBk,Best First,None,None,0.8583025830258303,0.9864291772688719,0.8184596173781924,0.47393119419812924,2326.0,384.0,246.0,32.0
syncope,7,87.32824427480917,IBk,Best First,None,None,0.8393055042482452,0.9759450171821306,0.8200334530875768,0.39892034867428033,2272.0,435.0,225.0,56.0
syncope,8,83.26271186440678,IBk,Best First,None,None,0.9843797856049005,0.6974826388888888,0.6606617937184344,0.05236462648282043,3214.0,51.0,81.0,1394.0
syncope,9,87.99403430275913,IBk,Best First,None,None,0.9696641386782232,0.9623655913978495,0.6223136947431303,0.16881094812751057,3580.0,112.0,32.0,140.0
syncope,10,89.25124792013311,IBk,Best First,None,None,0.9606299212598425,0.9650845608292417,0.7292670095861585,0.28550245515095496,3538.0,145.0,65.0,128.0
syncope,11,90.25379186063974,IBk,Best First,None,None,0.9445181842314839,0.9801652892561984,0.7203616745972118,0.2482201967986214,3558.0,209.0,55.0,72.0
syncope,12,91.06947483588621,IBk,Best First,None,None,0.9006063801740047,0.9884259259259259,0.6585720172959756,0.25204567366457803,3416.0,377.0,85.0,40.0
syncope,13,91.77858667001381,IBk,Best First,None,None,0.8908093278463649,0.9768351383874849,0.7964982644473834,0.40854695980305483,3247.0,398.0,208.0,77.0
syncope,14,92.26404169079328,IBk,Best First,None,None,0.8212754555198285,0.9861647361647362,0.7139137351637351,0.3251257883113633,3065.0,667.0,233.0,43.0
syncope,15,92.81952058475761,IBk,Best First,None,None,0.8240714884110584,0.9720026350461133,0.7498464922981831,0.40011354159340046,2951.0,630.0,342.0,85.0
syncope,16,93.93174474959612,IBk,Best First,None,None,0.858036272670419,0.9507969507969508,0.8040853353353353,0.38242920787299506,2744.0,454.0,266.0,142.0
syncope,17,92.5693990092532,IBk,Best First,None,None,0.9812382739212008,0.8974688974688975,0.6045579309468199,0.0559761999004071,4184.0,80.0,28.0,478.0
syncope,18,92.94587785596386,IBk,Best First,None,None,0.9451851851851852,0.9729847494553376,0.6075341089942675,0.07034944549068824,4466.0,259.0,23.0,124.0
syncope,19,93.36523643442291,IBk,Best First,None,None,0.9440914866581956,0.9776315789473684,0.7403351230086711,0.27899315088287097,4458.0,264.0,84.0,102.0
